Vg Vd w_enc_g w_enc_d time
-16.9971428571429 14.8114285714286 -414.202550962071 328.88005964364 4.46
-17.0442857142857 15.0085714285714 -415.352387537086 333.688411230614 4.47
-17.0914285714286 15.2057142857143 -416.502222913605 338.496764014575 4.48
-17.1385714285714 15.4028571428571 -417.652057224755 343.305117862659 4.49
-17.1857142857143 15.6 -418.801890588873 348.113472656745 4.5
-17.2328571428571 15.5136 -419.881517140504 352.60840790319 4.51
-17.28 15.4272 -420.777213407389 356.224183777631 4.52
-17.0728767123288 15.3408 -421.248631393378 358.971175961989 4.53
-16.8657534246575 15.2544 -420.833776166395 360.865264212257 4.54
-16.6586301369863 15.168 -419.633985063747 362.043986267957 4.55
-16.4515068493151 15.0816 -417.782261758209 362.633589054153 4.56
-16.2443835616438 14.9952 -415.389946071693 362.738467035994 4.57
-16.0372602739726 14.9088 -412.549275362535 362.444654996207 4.58
-15.8301369863014 14.8224 -409.336645551295 361.823034145238 4.59
-15.6230136986301 14.736 -405.81534275714 360.931988212314 4.6
-15.4158904109589 14.6496 -402.037803449997 359.819595631623 4.61
-15.2087671232877 14.5632 -398.047483794956 358.525438443097 4.62
-15.0016438356164 14.4768 -393.880405870484 357.082094777857 4.63
-14.7945205479452 14.3904 -389.566436731163 355.516370154559 4.64
-14.587397260274 14.304 -385.130346578238 353.850313187484 4.65
-14.3802739726027 14.2176 -380.592684278255 352.10205335768 4.66
-14.1731506849315 14.1312 -375.970501839668 350.286491933515 4.67
-13.9660273972603 14.0448 -371.277953977659 348.415871705464 4.68
-13.758904109589 13.9584 -366.526794368759 346.500246722976 4.69
-13.5517808219178 13.872 -361.726786453911 344.547869524288 4.7
-13.3446575342466 13.7856 -356.886043555091 342.565510297337 4.71
-13.1375342465754 13.6992 -352.011310513625 340.558719889263 4.72
-12.9304109589041 13.6128 -347.108196944814 338.532046500741 4.73
-12.7232876712329 13.5264 -342.181370456452 336.489214183031 4.74
-12.5161643835617 13.44 -337.234716734596 334.433269836949 4.75
-12.3090410958904 13.3536 -332.271472206159 332.366704241777 4.76
-12.1019178082192 13.2672 -327.294334000465 330.291551674963 4.77
-11.894794520548 13.1808 -322.305551116819 328.209471886142 4.78
-11.6876712328767 13.0944 -317.307000029448 326.121817529377 4.79
-11.4805479452055 13.008 -312.300247403317 324.029689613783 4.8
-11.2734246575342 12.9216 -307.286602133944 321.933983084844 4.81
