xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
0.193706 8.32387 -2.029 0.139835 75.3428 -49.5153 1.79
0.182 8.14532 -2.10617 0.117919 73.2233 -48.9566 1.8
0.169749 7.96254 -2.1737 0.0965677 71.0356 -48.4025 1.81
0.157008 7.77623 -2.23285 0.0760032 68.7889 -47.8545 1.82
0.143828 7.58695 -2.28472 0.0563789 66.4907 -47.3136 1.83
0.130254 7.39521 -2.33026 0.0377923 64.1477 -46.7804 1.84
0.116327 7.2014 -2.37027 0.0203009 61.7656 -46.2553 1.85
0.102083 7.00586 -2.40546 0.00392783 59.3495 -45.7385 1.86
0.0875539 6.80889 -2.43644 -0.0113276 56.9036 -45.2297 1.87
0.0727699 6.61071 -2.46374 -0.0254871 54.4316 -44.729 1.88
0.0577571 6.41152 -2.48782 -0.0385824 51.9369 -44.2359 1.89
0.0425389 6.21149 -2.50908 -0.050658 49.4221 -43.7503 1.9
0.0271366 6.01076 -2.52785 -0.0617638 46.8898 -43.2716 1.91
0.0115692 5.80944 -2.54445 -0.071954 44.3421 -42.7995 1.92
-0.00414632 5.60763 -2.55914 -0.0812832 41.7808 -42.3336 1.93
-0.0199946 5.40541 -2.57214 -0.0898103 39.2076 -41.8735 1.94
-0.035962 5.20284 -2.58366 -0.0975905 36.6239 -41.4188 1.95
-0.0520362 4.99999 -2.59388 -0.104677 34.0309 -40.969 1.96
-0.0682061 4.7969 -2.60294 -0.111125 31.4297 -40.5238 1.97
-0.0844619 4.59361 -2.61098 -0.116983 28.8213 -40.0829 1.98
-0.100795 4.39016 -2.61812 -0.1223 26.2065 -39.6458 1.99
-0.117196 4.18656 -2.62446 -0.12712 23.5861 -39.2123 2
-0.13366 3.98284 -2.63011 -0.131487 20.9607 -38.782 2.01
-0.150179 3.77903 -2.63512 -0.13544 18.3308 -38.3547 2.02
-0.166748 3.57514 -2.63959 -0.139014 15.697 -37.9301 2.03
-0.183361 3.37118 -2.64356 -0.142244 13.0598 -37.5079 2.04
-0.200014 3.16716 -2.6471 -0.145162 10.4194 -37.088 2.05
-0.216703 2.96309 -2.65025 -0.147795 7.77633 -36.6701 2.06
-0.233424 2.75899 -2.65306 -0.150171 5.1308 -36.254 2.07
-0.250174 2.55485 -2.65557 -0.152313 2.4831 -35.8397 2.08
-0.26695 2.35068 -2.6578 -0.154243 -0.166527 -35.4268 2.09
-0.283749 2.14649 -2.65979 -0.155982 -2.81786 -35.0153 2.1
-0.300568 1.94228 -2.66157 -0.157547 -5.47073 -34.605 2.11
-0.317406 1.73806 -2.66316 -0.158957 -8.12495 -34.1958 2.12
-0.334261 1.53382 -2.66457 -0.160225 -10.7804 -33.7877 2.13
-0.35113 1.32957 -2.66584 -0.161366 -13.4369 -33.3804 2.14
-0.368013 1.12531 -2.66697 -0.162393 -16.0944 -32.974 2.15
-0.384908 0.921043 -2.66797 -0.163314 -18.7527 -32.5683 2.16
-0.401813 0.716768 -2.66887 -0.164144 -21.4118 -32.1633 2.17
-0.418729 0.512489 -2.66968 -0.164888 -24.0716 -31.7589 2.18
-0.435652 0.308204 -2.6704 -0.165557 -26.732 -31.355 2.19
-0.452584 0.103916 -2.67104 -0.166159 -29.3929 -30.9516 2.2
-0.471434 -0.0839829 -2.67659 -0.579449 -32.0588 -30.7991 2.21
-0.492614 -0.243001 -2.68527 -0.954755 -34.6634 -31.0184 2.22
-0.515897 -0.374482 -2.70117 -1.28364 -37.2018 -31.5845 2.23
-0.54107 -0.482111 -2.7243 -1.56993 -39.6872 -32.4555 2.24
-0.56794 -0.569608 -2.75297 -1.81891 -42.1347 -33.5906 2.25
-0.596333 -0.640236 -2.78544 -2.03557 -44.5573 -34.9537 2.26
-0.624202 -0.68054 -2.41182 -2.21939 -46.7175 -36.5094 2.27
-0.651 -0.680462 -2.07687 -2.3759 -48.5035 -38.2966 2.28
-0.676825 -0.643282 -1.78807 -2.50432 -49.9463 -40.2971 2.29
-0.701775 -0.574263 -1.54094 -2.60746 -51.0919 -42.478 2.3
-0.725937 -0.47844 -1.32976 -2.68936 -51.9841 -44.8075 2.31
-0.749393 -0.360172 -1.14923 -2.75385 -52.6608 -47.2583 2.32
-0.772214 -0.223135 -0.994764 -2.80416 -53.1545 -49.8074 2.33
-0.794465 -0.070412 -0.862457 -2.84298 -53.4924 -52.4363 2.34
-0.816204 0.0954215 -0.749003 -2.87254 -53.6979 -55.1292 2.35
